,sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2234,BL0094-C,Plate_F_E6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.742,arabiensis,,arabiensis,22.90699,3.4183726,0.22516932,23.982439,34.225613,25.906094,-6.669327,5.963969,7.857982,-46.327354
2235,BL0095-C,Plate_F_F6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.7390000000000001,arabiensis,,arabiensis,22.041769,0.32544044,14.719665,21.250483,55.234272,64.3143,-17.095392,6.0890565,2.0544012,-64.08037
2236,BL0096-C,Plate_F_G6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.742,arabiensis,,arabiensis,22.750738,9.585562,22.105118,3.5038316,5.3045416,-14.210011,2.8646417,-24.602833,-3.869385,2.8029974
2237,BL0097-C,Plate_F_H6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.7390000000000001,arabiensis,,arabiensis,14.746205,10.721765,13.093573,34.38976,-25.494932,-8.142336,8.500274,5.6759753,-30.806805,13.563455
2238,BL0099-C,Plate_F_B7,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.7390000000000001,arabiensis,,arabiensis,22.0302,10.245233,26.621828,2.4422612,4.98259,-15.280545,-21.539885,-9.204803,0.25257272,-5.6294937
2251,BL0113-C,Plate_A_G12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.741,arabiensis,,arabiensis,24.100616,1.289686,1.2665863,12.411883,32.24747,34.07884,7.1318865,-27.089186,15.857483,-28.660044
2256,BL0118-C,Plate_B_F12,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.44799999999999995,0.731,arabiensis,,arabiensis,21.354534,8.272577,13.953469,16.478025,2.7839336,-16.262693,-22.699284,-18.12669,8.929908,-16.461683
2257,BL0194-C,Plate_C_A1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.7509999999999999,arabiensis,,arabiensis,24.371572,1.962343,13.481218,-25.89891,21.521723,24.232897,2.8203042,-2.7665884,44.028267,-15.582949
2258,BL0195-C,Plate_C_B1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.748,arabiensis,,arabiensis,15.326027,7.6238966,8.823533,40.67532,-3.2486885,-3.6119413,15.986239,-16.709574,-22.68177,-12.242638
2259,BL0196-C,Plate_C_C1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.752,arabiensis,,arabiensis,15.626679,12.027543,21.854282,1.8276118,-0.51102674,-14.160196,2.2271807,18.327133,-22.988506,3.389421
2260,BL0197-C,Plate_C_D1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.746,arabiensis,,arabiensis,21.1705,4.2180505,17.321678,-7.1632595,22.385769,0.14314032,-17.250286,-33.98492,-6.553297,-27.315172
2261,BL0198-C,Plate_C_E1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.75,arabiensis,,arabiensis,12.894538,10.06201,24.845678,5.023176,11.1184,7.089051,-8.980983,-4.8554764,-31.957077,11.989152
2262,BL0199-C,Plate_C_F1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7490000000000001,arabiensis,,arabiensis,19.996593,11.310911,30.98551,-5.8849754,19.964504,28.636982,-6.5730414,8.839036,-5.726549,-21.803259
2263,BL0200-C,Plate_C_G1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.75,arabiensis,,arabiensis,24.01614,6.426962,10.240446,-9.208225,1.3858334,1.0235965,7.4362917,-3.5185788,-4.9532466,-13.376116
2264,BL0201-C,Plate_C_H1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.748,arabiensis,,arabiensis,35.742054,20.701817,32.269676,133.76938,88.60088,-282.6775,-223.71706,-135.69504,191.7915,-11.233518
2265,BL0202-C,Plate_C_A2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.75,arabiensis,,arabiensis,11.753302,9.046435,11.22446,7.297702,0.9083513,3.0888562,22.338068,-2.2785294,-12.710492,-4.654172
2266,BL0203-C,Plate_C_C2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.747,arabiensis,,arabiensis,17.215631,12.850982,34.05354,45.32657,14.905166,-17.511786,26.381254,-27.015839,-4.853818,14.791277
2267,BL0204-C,Plate_C_D2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.747,arabiensis,,arabiensis,30.007704,13.686101,43.346676,82.55101,232.59914,95.97187,-202.06439,327.3941,25.662865,137.3032
2268,BL0205-C,Plate_A_B1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.75,arabiensis,,arabiensis,19.469566,10.335761,19.137506,22.857277,-2.7861838,-16.363722,12.464802,12.497654,11.467204,28.863794
2269,BL0207-C,Plate_A_D1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.7509999999999999,arabiensis,,arabiensis,21.517954,6.6497145,11.131621,18.011919,31.69557,24.00964,-8.044955,17.45965,-13.894666,-34.918903
2270,BL0208-C,Plate_A_E1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.752,arabiensis,,arabiensis,19.27396,5.863585,9.624734,-6.210579,5.0115867,4.5347652,32.984226,6.379062,28.670092,-3.1240373
2271,BL0209-C,Plate_A_F1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.747,arabiensis,,arabiensis,17.124416,11.848754,21.822437,23.902962,-17.17271,-24.799152,23.445677,-25.34422,-62.6626,-38.007088
2272,BL0210-C,Plate_A_G1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.75,arabiensis,,arabiensis,17.035429,12.6817255,17.515131,43.451954,3.6044369,9.99672,34.38321,-9.137266,-29.347944,8.219587
2273,BL0211-C,Plate_A_H1,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7490000000000001,arabiensis,,arabiensis,18.81315,11.511459,20.89725,16.548962,-0.48866564,-40.643005,-44.45502,-21.024235,7.2025204,-13.583917
2274,BL0212-C,Plate_A_C2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.7490000000000001,arabiensis,,arabiensis,14.961324,8.310161,11.630993,51.870117,7.5003643,2.5431423,56.69695,-4.833189,-9.360369,28.473455
2275,BL0213-C,Plate_A_D2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.748,arabiensis,,arabiensis,23.408436,4.9011655,18.343431,12.312129,26.715746,28.368671,15.864275,-0.83375466,13.181437,-18.431097
2276,BL0214-C,Plate_A_G2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.745,arabiensis,,arabiensis,16.82546,7.7125835,14.284829,-7.08209,2.4753544,-23.678951,-2.865849,-16.146109,-11.047937,-0.73642254
2277,BL0215-C,Plate_A_H2,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7509999999999999,arabiensis,,arabiensis,23.887577,7.3382473,20.974747,-20.319288,6.7466855,-2.3486023,38.464436,-2.4591527,35.53731,11.490354
2278,BL0216-C,Plate_A_A12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,18.110321,9.3118725,19.99685,62.215385,1.1942372,17.47313,59.40214,-22.138615,-29.224792,19.943241
2279,BL0217-C,Plate_A_B12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.7490000000000001,arabiensis,,arabiensis,20.335588,-0.86144596,-0.89782643,62.388245,30.970572,46.641132,50.56258,-50.598236,-6.3703737,-25.042583
2280,BL0218-C,Plate_A_C12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,22.664927,0.6653449,11.934467,-0.7464752,39.836792,38.991066,-3.8319983,6.1558905,4.0708733,-49.368244
2281,BL0221-C,Plate_A_F12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7509999999999999,arabiensis,,arabiensis,15.574814,9.502404,16.954662,27.427431,19.280666,4.555839,14.211526,-17.018295,-31.283321,-20.875832
2282,BL0222-C,Plate_A_H12,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.747,arabiensis,,arabiensis,12.583603,9.387386,13.820428,33.482506,4.2719483,4.289108,-6.927854,-15.139725,-22.088884,-25.15815
2283,BL0223-C,Plate_B_A10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46299999999999997,0.75,arabiensis,,arabiensis,17.732899,1.8407493,2.2915654,48.680363,37.276924,51.311245,-7.6245375,3.6691525,-25.508469,-69.903206
2284,BL0224-C,Plate_B_B10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.748,arabiensis,,arabiensis,16.706636,7.02111,17.758419,8.959214,-8.482009,-14.7572365,-4.687976,9.437983,-36.652466,-22.52144
2285,BL0225-C,Plate_B_C10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.7490000000000001,arabiensis,,arabiensis,15.365987,8.575876,14.470326,7.6008596,-8.739334,7.2390366,2.439144,-8.286317,-28.167295,-0.08035384
2286,BL0226-C,Plate_B_D10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.75,arabiensis,,arabiensis,21.74371,11.105257,25.600245,-5.0952706,13.451904,-8.22139,2.8002212,35.53326,-5.8890376,8.565892
2287,BL0227-C,Plate_B_E10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.75,arabiensis,,arabiensis,16.747835,10.060336,9.805877,43.816868,13.650972,-0.4839452,-6.269788,-1.2526963,1.0325694,-6.4313326
2288,BL0228-C,Plate_B_F10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.7490000000000001,arabiensis,,arabiensis,17.988344,8.2204685,12.12367,25.606512,-22.281343,5.704859,-0.042744655,1.3928475,-17.958609,-7.81028
2289,BL0229-C,Plate_B_G10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.746,arabiensis,,arabiensis,9.7765,6.141108,9.560873,22.453035,20.027548,15.555307,0.3595394,-23.2283,-15.675753,-7.2027564
2295,BL0126-C,Plate_E_F12,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.74,arabiensis,,arabiensis,15.280903,8.260567,18.691557,58.64921,-3.5591338,12.449629,17.602001,-3.2718546,-38.08481,-6.474213
2296,BL0127-C,Plate_F_A12,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.7390000000000001,arabiensis,,arabiensis,15.137712,5.807329,15.392081,54.94303,50.53476,35.590214,-22.183886,-12.440742,-6.731751,-45.651546
2298,BL0129-C,Plate_E_A1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.743,arabiensis,,arabiensis,22.26713,10.983374,32.925503,-32.051224,-2.1315475,1.3990841,-2.0602124,-13.973667,12.341923,3.2873428
2299,BL0131-C,Plate_E_F3,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.743,arabiensis,,arabiensis,21.124363,10.537339,12.234615,18.10934,14.369366,-5.1644516,32.42693,-7.878216,34.839752,8.641009
2300,BL0133-C,Plate_E_E5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.7440000000000001,arabiensis,,arabiensis,20.226555,7.916516,9.305851,21.944557,2.2802439,2.0491788,-9.078969,-18.714575,5.724304,0.28575116
2301,BL0135-C,Plate_E_G5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.738,arabiensis,,arabiensis,14.112666,9.610076,12.111156,19.999073,5.4873366,-2.0956812,13.027928,6.2018623,-3.3210323,8.651784
2302,BL0136-C,Plate_E_H5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.745,arabiensis,,arabiensis,20.36812,-3.609304,-11.545385,-2.0583315,-2.5250719,6.3316617,10.515057,18.870876,8.643413,-36.563835
2305,BL0139-C,Plate_E_F8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.7440000000000001,arabiensis,,arabiensis,10.811509,1.7164233,11.571687,15.266268,10.714848,13.381502,13.711098,-56.916958,-11.712958,9.5986395
2306,BL0140-C,Plate_E_A9,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.741,arabiensis,,arabiensis,21.231619,3.984712,-2.9259114,-4.991589,12.228841,7.082645,55.78131,9.216863,58.864254,20.82273
2307,BL0141-C,Plate_E_H9,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.743,arabiensis,,arabiensis,18.838497,8.100515,15.495809,0.82156694,4.5091767,-15.956655,-4.682861,-13.937543,-12.313383,-8.400579
2309,BL0145-C,Plate_E_H10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.74,arabiensis,,arabiensis,25.674881,1.974994,12.033668,13.009753,29.643633,36.130028,-6.1667147,-11.062613,12.545914,-44.473152
2310,BL0146-C,Plate_C_A5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.741,arabiensis,,arabiensis,26.243479,-0.8086345,9.737731,10.595696,36.71021,51.75281,20.341022,9.87997,47.782726,-25.29546
2311,BL0147-C,Plate_C_B5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.741,arabiensis,,arabiensis,16.364567,0.92187405,-0.81207865,12.470484,17.344952,23.312775,1.3106014,-18.705732,19.829828,-23.392405
2312,BL0148-C,Plate_C_C5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.732,arabiensis,,arabiensis,15.573725,10.105301,15.081407,27.074764,-19.647732,-0.43504578,-14.244731,-17.38391,-1.7154967,-15.874841
2313,BL0149-C,Plate_C_E5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.736,arabiensis,,arabiensis,25.951292,3.1715794,24.652725,-37.779835,8.069549,15.90149,40.025852,7.4731264,66.11525,26.59697
2314,BL0150-C,Plate_C_G5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.7390000000000001,arabiensis,,arabiensis,17.695084,6.4138675,1.957561,4.228362,-17.543436,-6.821009,0.18884082,27.731968,-9.309566,11.825321
2315,BL0151-C,Plate_C_H5,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.449,0.741,arabiensis,,arabiensis,23.486406,10.905836,27.373909,3.3861487,-29.621046,1.0678294,-5.1867137,-0.32624862,-14.34855,1.6785538
2316,BL0152-C,Plate_C_A6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.74,arabiensis,,arabiensis,13.0248575,6.4021997,5.045145,15.556655,-6.945275,-12.463532,9.232491,0.5155206,5.3306494,-8.510618
2317,BL0153-C,Plate_C_B6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.445,0.73,arabiensis,,arabiensis,17.619427,13.654505,25.91058,15.725993,-1.5288129,-2.609946,-0.26429987,7.780206,2.8589814,10.204992
2318,BL0154-C,Plate_C_C6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.74,arabiensis,,arabiensis,18.0697,6.6774697,18.497667,28.27085,-28.86053,0.37000245,-14.968543,-11.000144,-10.229786,-12.730421
2319,BL0155-C,Plate_C_D6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.743,arabiensis,,arabiensis,21.863564,7.2253222,12.43405,-7.1110477,11.261719,-17.844568,19.770689,-1.6729885,8.383908,-19.886772
2320,BL0156-C,Plate_C_E6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.7390000000000001,arabiensis,,arabiensis,15.520567,7.1259003,14.430605,33.370148,15.278056,20.875786,12.938618,-13.888494,-43.82052,-26.247318
2321,BL0157-C,Plate_C_F6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.75,arabiensis,,arabiensis,13.279531,10.176773,13.939976,13.894385,-4.4593544,-15.000672,0.0712209,-2.18326,-49.252506,-31.524834
2322,BL0158-C,Plate_D_A1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.7490000000000001,arabiensis,,arabiensis,23.13622,10.270853,23.500732,21.127768,18.564823,-1.6221946,1.6737553,0.70328957,1.3421892,-22.261988
2323,BL0159-C,Plate_D_B1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.75,arabiensis,,arabiensis,18.064688,10.154179,8.632576,-3.9913142,7.5516005,-6.0674534,56.146027,1.6151949,60.723835,3.4518552
2324,BL0161-C,Plate_D_F1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.748,arabiensis,,arabiensis,26.718422,3.9149017,18.550087,-4.5432262,28.14949,26.650513,27.768826,2.8128808,49.642254,-28.750244
2325,BL0163-C,Plate_D_A2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.748,arabiensis,,arabiensis,20.341064,11.141571,22.57995,17.028778,3.6836638,-41.65991,-28.730722,-33.512615,12.671196,-15.840038
2326,BL0164-C,Plate_D_C2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.75,arabiensis,,arabiensis,18.808521,8.811167,9.547767,-12.035071,5.3182535,-1.0163584,42.713017,14.158837,32.902702,17.680235
2327,BL0165-C,Plate_D_E2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.75,arabiensis,,arabiensis,18.91412,12.577406,15.275685,45.474068,-2.9493713,-5.264406,0.66998345,2.4069195,-33.59349,-19.992931
2328,BL0166-C,Plate_D_F2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.7509999999999999,arabiensis,,arabiensis,13.933079,8.900876,9.72482,23.014353,22.932894,0.9199375,-7.3307095,12.785721,-2.1610248,3.735683
2329,BL0167-C,Plate_D_G2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.75,arabiensis,,arabiensis,22.693375,6.0374546,24.700893,43.226288,24.658134,45.27788,15.807885,6.8754487,-21.47719,-20.40846
2330,BL0168-C,Plate_D_H2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7509999999999999,arabiensis,,arabiensis,19.412205,11.089904,17.859692,17.003592,-2.9539924,-0.5805937,15.154635,0.9258163,-23.793312,-2.920071
2331,BL0169-C,Plate_D_A3,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.747,arabiensis,,arabiensis,7.1192975,1.5773089,13.969855,57.82938,70.1579,53.950012,22.012314,2.255686,-12.772525,-22.147781
2332,BL0170-C,Plate_B_A1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,12.900104,10.887122,3.3761232,12.459679,27.487026,2.8536887,0.6114936,17.027594,-14.240531,12.881805
2333,BL0171-C,Plate_B_B1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.75,arabiensis,,arabiensis,17.463085,2.8657355,4.827906,37.617893,50.602665,44.70281,-12.006727,-15.294997,-13.40198,-56.120647
2334,BL0172-C,Plate_B_C1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,17.134354,10.328092,19.478943,11.476238,-4.456917,2.2914906,-6.982074,17.292282,-24.56069,12.487254
2335,BL0173-C,Plate_B_D1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.7490000000000001,arabiensis,,arabiensis,24.542316,7.1226273,-2.040567,39.404175,8.648059,-10.920677,84.70843,-12.22212,69.515305,32.07804
2336,BL0176-C,Plate_B_G1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.7490000000000001,arabiensis,,arabiensis,23.756924,11.38768,27.747667,7.835978,8.020761,-5.8098216,-6.44233,-4.307894,-22.420841,-20.186571
2337,BL0177-C,Plate_B_H1,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45399999999999996,0.748,arabiensis,,arabiensis,20.01423,11.985676,22.042082,-14.436735,5.5290055,-20.067547,5.9251347,-0.17069677,-16.882654,-5.7701693
2338,BL0178-C,Plate_B_A3,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.7490000000000001,arabiensis,,arabiensis,2.268215,10.907402,12.75809,17.619951,6.7047815,-20.52251,-2.2574499,-1.870424,15.396444,-6.93865
2339,BL0180-C,Plate_B_C3,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.747,arabiensis,,arabiensis,23.045334,5.9940805,-2.0736306,9.801063,6.3042192,2.3924267,19.747736,-15.327364,13.47983,-23.823162
2340,BL0182-C,Plate_A_A5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.748,arabiensis,,arabiensis,17.613926,12.616066,12.896265,15.219488,7.631466,-34.53636,4.250304,-17.62763,-46.636806,-47.365013
2341,BL0183-C,Plate_A_B5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7509999999999999,arabiensis,,arabiensis,16.498003,5.447595,8.077347,3.7675195,2.0119348,-9.065919,2.6195996,1.673111,1.4042408,-21.661667
2342,BL0184-C,Plate_A_E5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.75,arabiensis,,arabiensis,16.690264,7.292618,12.083716,1.9061244,0.9986459,-29.762722,7.496839,-3.628344,4.667949,4.085763
2343,BL0185-C,Plate_A_F5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7509999999999999,arabiensis,,arabiensis,13.04511,10.981329,17.97567,20.14674,11.865279,6.4078097,1.5299227,3.8039353,-15.836877,-7.0017233
2344,BL0186-C,Plate_A_G5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,13.8371935,8.677527,20.991114,34.639774,32.8897,9.224017,-53.332493,52.66841,-5.1837125,23.29533
2345,BL0187-C,Plate_A_H5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.46299999999999997,0.748,arabiensis,,arabiensis,15.937392,7.64001,-0.11332173,63.281563,7.8561153,-11.878639,64.988785,-13.562383,42.706135,68.374405
2346,BL0189-C,Plate_A_B6,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7440000000000001,arabiensis,,arabiensis,25.373621,12.47527,45.171364,-60.180805,-19.645105,10.594659,-31.68795,-35.460064,-62.526104,24.019884
2347,BL0190-C,Plate_A_C6,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.748,arabiensis,,arabiensis,14.343775,4.5713906,18.128338,21.532707,46.51688,55.87593,-0.2526213,-12.051644,1.7622448,-50.029415
2348,BL0192-C,Plate_A_F6,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.748,arabiensis,,arabiensis,18.055809,12.450693,17.81437,13.707425,-2.297997,-8.141245,-3.7012398,-0.02789568,-25.500217,-18.438368
2349,BL0193-C,Plate_A_G6,Bilali Kabula,Tanzania,Muleba,2015,4,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.747,arabiensis,,arabiensis,18.275557,11.765115,20.74673,3.4800081,-5.3864017,-59.5633,0.29939783,-22.53989,-59.15194,-42.638306
2350,BL0230-C,Plate_B_H10,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.461,0.7509999999999999,arabiensis,,arabiensis,14.834763,8.68645,18.146172,17.312544,-9.608674,-2.0960152,-29.916779,-5.9970374,-3.960737,-9.84464
2351,BL0231-C,Plate_B_A11,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45799999999999996,0.748,arabiensis,,arabiensis,17.163294,7.8860517,0.5652833,12.641988,4.2602053,-18.692621,-0.39522576,36.655247,-22.69141,21.332947
